"order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n"
"Chiroptera","Pteropodidae","Acerodon","celebensis","Acerodon celebensis","Acerodon celebensis",384.84,NA,201.25,133.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1500,0,1500,1,NA,1,0,"Australasian",2
"Chiroptera","Pteropodidae","Acerodon","humilis","Acerodon humilis","Acerodon humilis",352.43,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Australasian",1
"Chiroptera","Pteropodidae","Acerodon","jubatus","Acerodon jubatus","Acerodon jubatus",1087.04,NA,NA,188.04,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3650,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,NA,0,0,"Indomalayan",1
"Chiroptera","Pteropodidae","Acerodon","leucotis","Acerodon leucotis","Acerodon leucotis",352.07,NA,NA,139.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,0,NA,1,NA,1,0,"Indomalayan",1
"Chiroptera","Pteropodidae","Acerodon","mackloti","Acerodon mackloti","Acerodon mackloti",467.93,NA,NA,145.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,450,0,450,1,NA,0,0,"Australasian",2
"Chiroptera","Pteropodidae","Aethalops","aequalis","Aethalops aequalis","Aethalops aequalis",13.9,NA,73,44,NA,NA,NA,NA,NA,152.2,NA,0.995,NA,365,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,550,NA,1,NA,0,0,"Indomalayan",2
"Chiroptera","Pteropodidae","Aethalops","alecto","Aethalops alecto","Aethalops alecto",15,NA,73,46.49,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,70,30,0,0,2,1,"Ar",1,0,0,0,1,2700,1000,1700,1,NA,1,0,"Indomalayan",1
"Chiroptera","Pteropodidae","Alionycteris","paucidentata","Alionycteris paucidentata","Alionycteris paucidentata",16.24,NA,63.9,44.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2250,1500,750,1,NA,0,0,"Indomalayan",1
"Chiroptera","Phyllostomidae","Ametrida","centurio","Ametrida centurio","Ametrida centurio",11.305,0.29,55,29,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2100,NA,NA,0,NA,1,0,"Neotropical",1
"Chiroptera","Furipteridae","Amorphochilus","schnablii","Amorphochilus schnablii","Amorphochilus schnablii",4.15,NA,NA,35.99,NA,NA,NA,NA,NA,NA,NA,0.995,1,NA,0.06,NA,NA,2190,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,50,1950,0,NA,1,0,"Neotropical",1
"Chiroptera","Phyllostomidae","Anoura","aequatoris","Anoura aequatoris","Anoura caudifer",11.155,0.422,57.16,36.25,NA,NA,NA,NA,NA,107.97,NA,0.995,NA,NA,2.14,NA,NA,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,2,"Ar",1,0,0,0,1,2880,200,2680,NA,NA,NA,NA,NA,1
"Chiroptera","Phyllostomidae","Anoura","cadenai","Anoura cadenai","Anoura caudifer",11.155,0.422,57.16,36.25,NA,NA,NA,NA,NA,107.97,NA,0.995,NA,NA,2.14,NA,NA,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,2,"Ar",1,0,0,0,1,1600,800,800,NA,NA,NA,NA,"Neotropical",1
"Chiroptera","Phyllostomidae","Anoura","carishina","Anoura carishina","Anoura geoffroyi",15.2,0.583,73,42.66,3650,NA,NA,NA,NA,121.76,NA,1,1,365,5.1,62.5,8.24,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,3,"Ar",1,0,0,0,1,3600,400,3200,NA,NA,NA,NA,NA,3
"Chiroptera","Phyllostomidae","Anoura","caudifer","Anoura caudifer","Anoura caudifer",11.155,0.422,57.16,36.25,NA,NA,NA,NA,NA,107.97,NA,0.995,NA,NA,2.14,NA,NA,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,2,"Ar",1,0,0,0,1,2880,200,2680,0,NA,1,0,"Neotropical",1
"Chiroptera","Phyllostomidae","Anoura","cultrata","Anoura cultrata","Anoura cultrata",17.39,NA,78,42.8,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,3.65,NA,NA,NA,NA,NA,NA,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,1,"Ar",1,0,0,0,1,2600,50,2550,0,NA,1,0,"Neotropical",2
"Chiroptera","Phyllostomidae","Anoura","fistulata","Anoura fistulata","Anoura fistulata",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,1,2510,1175,1335,NA,NA,NA,NA,"Neotropical",1
"Chiroptera","Phyllostomidae","Anoura","geoffroyi","Anoura geoffroyi","Anoura geoffroyi",15.2,0.583,73,42.66,3650,NA,NA,NA,NA,121.76,NA,1,1,365,5.1,62.5,8.24,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,3,"Ar",1,0,0,0,1,3600,400,3200,0,NA,1,0,"Neotropical",3
"Chiroptera","Phyllostomidae","Anoura","latidens","Anoura latidens","Anoura latidens",15.06,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,2,"Ar",1,0,0,0,1,2100,50,2050,0,NA,1,0,"Neotropical",3
"Chiroptera","Phyllostomidae","Anoura","luismanueli","Anoura luismanueli","Anoura luismanueli",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ar",1,0,0,0,1,2400,1100,1300,NA,NA,NA,NA,"Neotropical",2
