iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,15.1001536666667,2.91988772398985,228,100,0,0,1,1,Ar,1,1,2,0,842.654208314472,2.68521000000001,3.79513999999999,56.5370160238805,35.1856338699999,28.03034524,120.8460579,166.240426133334,624.077998292149,1773.12724530574,693.665750001252,0.513878210811532
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,17.6369493333333,1.49,158.645,78,3,19,2,3,G,2,1,2,0,1354.96699165997,1,1.75988,113.729051489866,38.9569585075,41.1003744200001,197.99060788,232.694669047532,788.050622250131,841.401016247286,1700,0.221175907316228
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,4.8399250000001,1.15908659753176,176.97903,88,1,11,2,2,G,1,2,1,0,933.715625034315,3.69103050000002,3.02438,32.6207270355799,24.1267282849999,23.6104832,86.2352014800002,112.5968253,499.077398875825,1207.17202871865,1473.85,0.231688911850838
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,24.5130616666668,5.00628911238675,250,100,0,0,1,1,G,2,1,2,0,851.666666545,3,2,123.47771017029,95.3868766749999,46.5627064800002,259.014837029999,334.209799017501,1135.64081147877,102.5,4000,0.511141748489352
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,12.0103639666668,3.06942839118396,201.1691,100,0,0,1,1,G,2,1,1,0,1225.88899995437,2.29911499999999,1.86274,121.121614619706,94.89874451,38.6772131000002,274.775669521999,343.075786383367,1036.83535168352,969.275865185552,470,0.384208760434759
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,3.60972563483832,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.859075,131.282799903056,112.26904,46.2997364300001,281.269603773999,357.928429600867,1154.32048496676,800.917463638849,0,0.463026930148831
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.31043770297739,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.862015,128.051842890391,112.26904,45.4231662900001,275.775562133999,351.841713441667,1123.97886385006,578.385406797985,1300,0.463026930148831
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.25999798711298,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.8686,127.138533445221,112.26904,45.3593453700001,274.781919213999,349.211188541667,1121.6052187834,593.156575686874,1212.443,0.463026930148831
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.29377480486597,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.93805,121.255402218296,112.26904,43.3545580100001,262.706380853999,341.740095761667,1110.86978311676,543.447668959255,1800,0.463026930148831
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,12.7104511500001,3.04761115726213,201.15276,100,0,0,1,1,G,3,1,1,0,1399.66245830133,2.22854499999999,1.870055,122.828600449578,96.83178941,39.9358090000002,280.633703652699,346.122342348367,1033.56390881683,1092.74777229524,300,0.392533231193529
Abrocoma vaccarum,Abrocoma vaccarum,Rodentia,221.82,12.755,3.63572944945464,201,100,0,0,1,1,G,1,1,2,0,395.416666545,1.995,1.84283,134.134441723213,112.26904,48.1281851300001,290.390491785999,361.808993874201,1168.69011998371,740.327931961705,0,0.463026930148831
Abrothrix andinus,Abrothrix andinus,Rodentia,34.65,2.97838000000003,0.818537788039107,140,70,0,30,2,2,G,2,2,1,0,1003.6100833455,4.0204875,4.06573,25.2007792102449,25.4955288224999,24.5063331200001,76.22427414,102.932161533334,422.919438983951,550.820333536212,1907.084,0.166779492006714
Abrothrix illutea,Abrothrix illutea,Rodentia,47.79,3.54500000000009,0.930265433260123,140,44,1,55,2,2,G,1,2,1,0,1081.16650002993,3.62944250000002,4.00718999999999,28.1741276726598,26.5524708874999,25.7044235600001,82.6368384400001,106.193630706667,483.164918759109,429.221223376191,1800,0.199040398287332
Abrothrix jelskii,Abrothrix jelskii,Rodentia,34.5,2.90384500000003,0.801877430642715,140,70,0,30,2,2,G,4,2,1,0,973.667916673116,4.06366249999999,3.91289500000001,25.156484565165,25.4940866349998,23.8310237000001,74.60293578,100.54728761,414.245028625608,651.0439390997,2800,0.166382010386797
Abrothrix lanosus,Abrothrix lanosus,Rodentia,25.915,2.69279500000004,0.761601402871686,140,55,0,45,2,2,G,2,2,1,0,945.92791666545,4.05533,3.99702500000001,24.661943279485,25.3222291699998,24.2247725400001,78.4133423,103.012130793334,409.892320217265,626.704206634663,1821.198,0.142153982952647
Abrothrix longipilis,Abrothrix longipilis,Rodentia,185,3.145,1.54060048627628,159.67,11,0,89,2,2,G,4,2,2,0,1175.5707083382,4.845,4,22.734428325,21.90196,22.28550936,63.00252,112.3,499.875308492571,1381.66666666667,2014.20838333329,0.419035016261043
Abrothrix olivaceus,Abrothrix olivaceus,Rodentia,27,2.45712530000002,0.785154510416472,125.563333333333,11,0,89,2,2,G,3,2,2,0,365,5.42,2.25,35.320303022755,23.3889833842856,23.24571002,191.716,146.58962641,411.937890034082,1815,1901.07,0.145397163981597
Abrothrix sanborni,Abrothrix sanborni,Rodentia,24.7,2.83933500000003,0.848460563064754,155,44,0,56,2,2,G,1,2,1,0,938.101708351343,3.61670125000002,3.469635,28.5116714842499,26.1535156324999,26.4999447800001,84.4435976800001,111.218180266667,469.490079658922,1050.38794614253,800,0.138448797988912
Acerodon celebensis,Acerodon celebensis,Chiroptera,384.84,53.8180264999998,4.53115809985351,201.25,100,0,0,1,1,Ar,2,1,2,0,3665.71598719651,0.98,1.55403,273.54184972279,154.767545979998,146.065676620001,617.546757693334,760.251904340002,2134.45287738111,2217.04035796566,1500,NA
Acerodon humilis,Acerodon humilis,Chiroptera,352.43,40.1490550000001,4.00723582226851,189.134585,100,0,0,1,1,Ar,1,1,2,0,4337.15782077286,1.00911,1.962005,249.616682852827,137.216213360001,110.27122906,289.70363536,392.555935797501,1660.96443765067,2192.57475406527,1122.84,NA
Acerodon jubatus,Acerodon jubatus,Chiroptera,1087.04,85.7065164999995,8.60565736511411,283.753899999999,100,0,0,1,1,Ar,1,1,2,0,6969.32946679649,1,1,369.127407945697,165.949165264999,135.044463900001,696.246746200007,868.911031026668,3650,1979.28431120571,1100,NA
Acerodon leucotis,Acerodon leucotis,Chiroptera,352.07,39.5015883333334,3.90067747673279,193.41701,100,0,0,1,1,Ar,1,1,2,0,3560.75354581757,1.01831,1.97488,246.420076965072,136.109666120001,102.12198832,282.91543958,372.721988832501,1460,2244.39275937642,1184.335,NA
Acerodon mackloti,Acerodon mackloti,Chiroptera,467.93,43.5719175000001,4.5028918599306,201.43564,100,0,0,1,1,Ar,2,1,2,0,4818.66521243028,0.98,1.93125,250.093880059174,141.01767782,112.62517355,331.975635446668,440.766234940001,1825,2252.80012012191,450,NA
Acinonyx jubatus,Acinonyx jubatus,Carnivora,50577.92,465.33,115.01219047619,1490.215,0,100,0,3,1,G,4,3,1,0,7482.5,3.04,0.7,541.878849985,90.12,107,598.985,1217.27,2190,0.0214569720825,4000,44.4482052554175
Acomys airensis,Acomys airensis,Rodentia,45.2,5.49,1.3301228555254,175,0,0,100,3,1,G,3,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,707.974120766816,2391.70224721933,965.131333333333,1.4253817359899
Acomys cahirinus,Acomys cahirinus,Rodentia,45.2,5.49,0.76,175,70,30,0,2,2,G,3,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,103,650.0125,1900,1280.58743333324,0.193033197411528
Acomys cilicicus,Acomys cilicicus,Rodentia,48,5.84168666666657,1.04976369032778,175,70,30,0,2,2,G,2,2,1,0,1460,2.4602675,3.489775,47.7766213278452,34.249166925,19.6531962400001,85.9245251600003,120.571688157,636.455016700087,2028.70063310273,892.761666666667,0.199520969217352
Acomys cineraceus,Acomys cineraceus,Rodentia,43.6,5.49,1.21558685569402,129.87,0,0,100,3,1,G,3,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,711.433152058401,2439.68006026038,938.844383333286,1.40043106650438
Acomys dimidiatus,Acomys dimidiatus,Rodentia,45.2,5.49,1.05010715510586,175,80,0,20,2,3,G,5,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,707.083355383387,3289.83511101735,900,0.193033197411528
Acomys ignitus,Acomys ignitus,Rodentia,45.2,5.49,1.09678155425129,175,70,30,0,3,2,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,713.3054942668,2483.71309605992,1095.56026666663,1.4253817359899
Acomys johannis,Acomys johannis,Rodentia,43.6,5.49,1.23344374569402,129.87,0,0,100,3,1,G,3,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,713.708457775058,2442.90590692705,800,1.40043106650438
Acomys kempi,Acomys kempi,Rodentia,43.6,5.49,1.09572227425129,175,70,30,0,3,2,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,713.0609466668,2459.70293629801,1091.62026666663,1.40043106650438
Acomys louisae,Acomys louisae,Rodentia,27.085,5.55509711666662,1.14628574429311,175,70,30,0,3,2,G,3,2,1,0,1759.30760415724,2.62216500000001,3.130035,53.3803316238653,34.7344173799999,25.02125378,96.5025269400001,139.8775492734,671.47174726702,765.174572189451,1504.109,1.10904837086166
Acomys minous,Acomys minous,Rodentia,45.2,5.49,0.991763513161577,175,70,30,0,1,2,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,699.012674416626,2454.74683125937,1131.03575606046,0.193033197411528
Acomys mullah,Acomys mullah,Rodentia,45.2,5.49,1.09678155425129,175,70,30,0,3,2,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,713.291326716801,2517.60091298299,1094.85026666663,1.4253817359899
Acomys nesiotes,Acomys nesiotes,Rodentia,45.2,5.49,0.982950583888849,175,70,30,0,2,2,G,1,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,712.108892066655,2444.21623530433,1065.5541893937,0.193033197411528
Acomys percivali,Acomys percivali,Rodentia,21.99,4.98486078333326,1.00843776418149,148.505581666667,70,30,0,3,2,G,3,2,1,0,1722.13083332907,2.52816,2.96533,63.9932874622352,38.65372,25.31985071,109.2645299,144.81347502,679.961222558546,617.148003754715,1520.00933333333,1.00139108109496
