iucn2020_binomial,input_name
Abditomys latidens,Abditomys latidens
Abeomelomys sevia,Abeomelomys sevia
Abrawayaomys chebezi,Abrawayaomys chebezi
Abrawayaomys ruschii,Abrawayaomys ruschii
Abrocoma bennettii,Abrocoma bennettii
Abrocoma boliviensis,Abrocoma boliviensis
Abrocoma budini,Abrocoma budini
Abrocoma cinerea,Abrocoma cinerea
Abrocoma famatina,Abrocoma famatina
Abrocoma shistacea,Abrocoma shistacea
Abrocoma uspallata,Abrocoma uspallata
Abrocoma vaccarum,Abrocoma vaccarum
Abrothrix andinus,Abrothrix andinus
Abrothrix illutea,Abrothrix illutea
Abrothrix illutea,Abrothrix illuteus
Abrothrix jelskii,Abrothrix jelskii
Abrothrix lanosus,Abrothrix lanosus
Abrothrix longipilis,Abrothrix longipilis
Abrothrix manni,Abrothrix manni
Abrothrix olivaceus,Abrothrix hershkovitzi
Abrothrix olivaceus,Abrothrix markhami
Abrothrix olivaceus,Abrothrix olivaceus
Abrothrix sanborni,Abrothrix sanborni
Acerodon celebensis,Acerodon celebensis
Acerodon humilis,Acerodon humilis
Acerodon jubatus,Acerodon jubatus
Acerodon leucotis,Acerodon leucotis
Acerodon mackloti,Acerodon mackloti
Acinonyx jubatus,Acinonyx jubatus
Acomys airensis,Acomys airensis
Acomys cahirinus,Acomys cahirinus
Acomys cahirinus,Acomys chudeaui
Acomys cilicicus,Acomys cilicicus
Acomys cineraceus,Acomys cineraceus
Acomys dimidiatus,Acomys dimidiatus
Acomys ignitus,Acomys ignitus
Acomys johannis,Acomys johannis
Acomys kempi,Acomys kempi
Acomys louisae,Acomys louisae
Acomys minous,Acomys minous
Acomys mullah,Acomys mullah
Acomys muzei,Acomys muzei
Acomys muzei,Acomys spinosissimus
Acomys nesiotes,Acomys nesiotes
Acomys ngurui,Acomys ngurui
Acomys ngurui,Acomys spinosissimus
Acomys percivali,Acomys percivali
Acomys russatus,Acomys russatus
Acomys selousi,Acomys selousi
Acomys selousi,Acomys spinosissimus
Acomys seurati,Acomys seurati
Acomys spinosissimus,Acomys spinosissimus
Acomys subspinosus,Acomys subspinosus
