"","icnames","species","pcnames","ccnames","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete","iucn2020_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","zvirus","category","population_trend"
"1","Acerodon celebensis","Acerodon celebensis","Acerodon celebensis","Acerodon celebensis","Acerodon_celebensis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis",24,1,1,"keep","keep",0,"yes","Acerodon celebensis",384.84,NA,201.25,133.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1500,0,1500,1,NA,1,0,"Australasian",2,173613.3,3.74,-6.49,-1.37,126.34,118.75,122.55,5,92.68,17,0.07,229.41,215.47,1812.6,1909.15,2,"VU","Decreasing"
"2","Acerodon humilis","Acerodon humilis","Acerodon humilis","Acerodon humilis","Acerodon_humilis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_humilis",0,0,0,"drop","drop",0,"yes","Acerodon humilis",352.43,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Australasian",1,87.45,4.04,3.81,3.93,126.73,126.6,126.67,109,109,109,0,NA,NA,NA,NA,0,"EN","Decreasing"
"3","Acerodon jubatus","Acerodon jubatus","Acerodon jubatus","Acerodon jubatus","Acerodon_jubatus","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_jubatus",0,4,3,"keep","keep",0,"yes","Acerodon jubatus",1087.04,NA,NA,188.04,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3650,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,NA,0,0,"Indomalayan",1,261660.73,18.65,5.55,12.1,126.6,119.74,123.17,19,238.14,34,0.1,202.52,242.33,1471.66,1734.15,0,"EN","Decreasing"
"4","Acerodon leucotis","Acerodon leucotis","Acerodon leucotis","Acerodon leucotis","Acerodon_leucotis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_leucotis",0,0,0,"drop","drop",0,"yes","Acerodon leucotis",352.07,NA,NA,139.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,0,NA,1,NA,1,0,"Indomalayan",1,12831.86,12.33,7.8,10.06,120.34,116.93,118.63,22,43.33,25,0.21,224,249.78,NA,NA,0,"VU","Decreasing"
"5","Acerodon mackloti","Acerodon mackloti","Acerodon mackloti","Acerodon mackloti","Acerodon_mackloti","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_mackloti",0,0,0,"drop","drop",0,"yes","Acerodon mackloti",467.93,NA,NA,145.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,450,0,450,1,NA,0,0,"Australasian",2,74770.92,-8.06,-10.37,-9.22,127.3,115.83,121.57,23,107.08,23,0.08,204.54,243.2,NA,NA,0,"VU","Decreasing"
"6","Aethalops aequalis","Aethalops aequalis","Aethalops aequalis","Aethalops aequalis","Aethalops_aequalis","Aethalops","PTEROPODIDAE","Yinpterochiroptera","Aethalops_aequalis",0,0,0,"drop","drop",0,"yes","Aethalops aequalis",13.9,NA,73,44,NA,NA,NA,NA,NA,152.2,NA,0.995,NA,365,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,550,NA,1,NA,0,0,"Indomalayan",2,20667.22,6.4,3.81,5.11,117.13,115.04,116.08,3,26.26,3,0.25,270.73,225.8,1794.08,1862.13,0,"LC","Unknown"
"7","Aethalops alecto","Aethalops alecto","Aethalops alecto","Aethalops alecto","Aethalops_alecto","Aethalops","PTEROPODIDAE","Yinpterochiroptera","Aethalops_alecto",0,0,0,"drop","drop",NA,"yes","Aethalops alecto",15,NA,73,46.49,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,70,30,0,0,2,1,"Ar",1,0,0,0,1,2700,1000,1700,1,NA,1,0,"Indomalayan",1,110914.61,5.16,-8.96,-1.89,116.73,99.87,108.3,12,282.32,17,0.11,250.35,242.64,1724.94,1820.8,0,"LC","Unknown"
"8","Alionycteris paucidentata","Alionycteris paucidentata","Alionycteris paucidentata","Alionycteris paucidentata","Alionycteris_paucidentata","Alionycteris","PTEROPODIDAE","Yinpterochiroptera","Alionycteris_paucidentata",0,0,0,"drop","drop",NA,"yes","Alionycteris paucidentata",16.24,NA,63.9,44.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2250,1500,750,1,NA,0,0,"Indomalayan",1,168.3,7.92,7.79,7.86,124.51,124.38,124.45,110,145,110,0.06,187,200,1589.5,1723.5,0,"LC","Stable"
"9","Ametrida centurio","Ametrida centurio","Ametrida centurio","Ametrida centurio","Ametrida_centurio","Ametrida","PHYLLOSTOMIDAE","Yangochiroptera","Ametrida_centurio",0,0,0,"drop","drop",NA,"yes","Ametrida centurio",11.305,0.29,55,29,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2100,NA,NA,0,NA,1,0,"Neotropical",1,4577247.97,12.19,-16.56,-2.18,-46.31,-71.54,-58.93,0,9.86,0,0.13,159.06,250.29,1385.28,1616.68,0,"LC","Unknown"
"10","Amorphochilus schnablii","Amorphochilus schnablii","Amorphochilus schnablii","Amorphochilus schnablii","Amorphochilus_schnablii","Amorphochilus","FURIPTERIDAE","Yangochiroptera","Amorphochilus_schnablii",0,0,0,"drop","drop",1,"yes","Amorphochilus schnablii",4.15,NA,NA,35.99,NA,NA,NA,NA,NA,NA,NA,0.995,1,NA,0.06,NA,NA,2190,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,50,1950,0,NA,1,0,"Neotropical",1,437429.66,-0.56,-21.74,-11.15,-68.67,-81.35,-75.01,0,60.47,0,0.07,34.8,102.52,513.18,1285.52,0,"VU","Stable"
"11","Anoura canishina","Anoura canishina","Anoura canishina","Anoura canishina","Anoura_canishina","Anoura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes","Anoura canishina",15.2,0.583,73,42.66,3650,NA,NA,NA,NA,121.76,NA,1,1,365,5.1,62.5,8.24,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,3,"Ar",1,0,0,0,1,3600,400,3200,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"12","Anoura caudifer","Anoura caudifer","Anoura caudifer","Anoura caudifer","Anoura_caudifer","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer",11,6,1,"keep","keep",0,"yes","Anoura caudifer",11.155,0.422,57.16,36.25,NA,NA,NA,NA,NA,107.97,NA,0.995,NA,NA,2.14,NA,NA,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,2,"Ar",1,0,0,0,1,2880,200,2680,0,NA,1,0,"Neotropical",1,8755498.43,12.46,-28.72,-8.12,-37.43,-79.94,-58.68,0,27.24,0,0.11,150.88,230.85,1319.22,1527.5,2,"LC","Unknown"
"13","Anoura cultrata","Anoura cultrata","Anoura cultrata","Anoura cultrata","Anoura_cultrata","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_cultrata",0,1,0,"keep","drop",1,"yes","Anoura cultrata",17.39,NA,78,42.8,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,3.65,NA,NA,NA,NA,NA,NA,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,1,"Ar",1,0,0,0,1,2600,50,2550,0,NA,1,0,"Neotropical",2,1873138.72,12.46,-15.86,-1.7,-63.79,-84.98,-74.38,0,41.77,1,0.13,164.27,232.11,1355.35,1560.16,0,"LC","Decreasing"
"14","Anoura fistulata","Anoura fistulata","Anoura fistulata","Anoura fistulata","Anoura_fistulata","Anoura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,1,0,"keep","drop",0,"yes","Anoura fistulata",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,1,2510,1175,1335,NA,NA,NA,NA,"Neotropical",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"DD","Unknown"
"15","Anoura geoffroyi","Anoura geoffroyi","Anoura geoffroyi","Anoura geoffroyi","Anoura_geoffroyi","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi",41,15,0,"keep","keep",0,"yes","Anoura geoffroyi",15.2,0.583,73,42.66,3650,NA,NA,NA,NA,121.76,NA,1,1,365,5.1,62.5,8.24,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,3,"Ar",1,0,0,0,1,3600,400,3200,0,NA,1,0,"Neotropical",3,8631465.89,25.97,-25.46,0.25,-34.79,-108.83,-71.81,0,44.96,0,0.1,128.98,221.14,1191.28,1510.91,8,"LC","Stable"
"16","Anoura latidens","Anoura latidens","Anoura latidens","Anoura latidens","Anoura_latidens","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_latidens",0,0,0,"drop","drop",0,"yes","Anoura latidens",15.06,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,2,"Ar",1,0,0,0,1,2100,50,2050,0,NA,1,0,"Neotropical",3,450082.95,12.2,6.99,9.59,-60.78,-72.77,-66.77,0,60.54,1,0.13,102.16,254.58,1303.89,1742.17,0,"LC","Stable"
"17","Anoura luismanueli","Anoura luismanueli","Anoura luismanueli","Anoura luismanueli","Anoura_luismanueli","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_luismanueli",0,0,0,"drop","drop",0,"yes","Anoura luismanueli",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ar",1,0,0,0,1,2400,1100,1300,NA,NA,NA,NA,"Neotropical",2,24076.62,9.96,7.74,8.85,-69.33,-72.31,-70.82,8,64.11,8,0.09,115.45,221.72,1354.33,1644.07,0,"LC","Stable"
"18","Anthops ornatus","Anthops ornatus","Anthops ornatus","Anthops ornatus","Anthops_ornatus","Anthops","HIPPOSIDERIDAE","Yinpterochiroptera","Anthops_ornatus",0,0,0,"drop","drop",NA,"yes","Anthops ornatus",17.94,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,200,0,200,1,NA,0,0,"Australasian",1,15373.46,-6.08,-9.94,-8.01,160.83,155.23,158.03,13,14.22,13,0.16,189.75,262.79,NA,NA,0,"VU","Decreasing"
"19","Antrozous pallidus","Antrozous pallidus","Antrozous pallidus","Antrozous pallidus","Antrozous_pallidus","Antrozous","VESPERTILIONIDAE","Yangochiroptera","Antrozous_pallidus",24,34,0,"keep","keep",1,"yes","Antrozous pallidus",22,NA,NA,54.53,5402,365.083,365,365,365,60.505,NA,2,NA,NA,3.1,50,13.16,1524.057,NA,NA,1,2,NA,NA,80,20,0,80,0,20,0,0,0,0,0,0,0,2,3,"G",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Nearctic, Neotropical",3,4228781.56,50.09,18.99,34.54,-74.13,-124.56,-99.34,0,29.96,0,0.09,36.48,136.23,460.29,1072.88,1,"LC","Stable"
"20","Aproteles bulmerae","Aproteles bulmerae","Aproteles bulmerae","Aproteles bulmerae","Aproteles_bulmerae","Aproteles","PTEROPODIDAE","Yinpterochiroptera","Aproteles_bulmerae",0,0,0,"drop","drop",0,"yes","Aproteles bulmerae",623.91,NA,245.47,166.24,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,2400,500,1900,NA,NA,NA,NA,"Australasian",2,66662.67,-4.66,-6.94,-5.8,145.87,140.28,143.07,1,14.78,1,0.17,354.23,171.17,1655.43,1662.62,0,"CR","Decreasing"
"21","Ardops nichollsi","Ardops nichollsi","Ardops nichollsi","Ardops nichollsi","Ardops_nichollsi","Ardops","PHYLLOSTOMIDAE","Yangochiroptera","Ardops_nichollsi",0,1,0,"keep","drop",0,"yes","Ardops nichollsi",19.23,0.61,NA,48.56,NA,NA,NA,NA,NA,NA,NA,0.995,2,NA,2.52,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,0,0,"Neotropical",2,4493.21,17.53,13.11,15.32,-60.81,-63,-61.9,0,215.47,0,0.04,NA,NA,NA,NA,0,"LC","Unknown"
"22","Arielulus aureocollaris","Arielulus aureocollaris","Arielulus aureocollaris","Arielulus aureocollaris","Arielulus_aureocollaris","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_aureocollaris",0,0,0,"drop","drop",NA,"yes","Arielulus aureocollaris",14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,NA,NA,NA,NA,NA,NA,"Indomalayan",1,1761.41,20.28,19.84,20.06,99.34,98.9,99.12,6,25.01,6,0.07,129.49,206.51,1097.75,1556.27,0,NA,NA
"23","Arielulus circumdatus","Arielulus circumdatus","Arielulus circumdatus","Arielulus circumdatus","Arielulus_circumdatus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_circumdatus",0,0,0,"drop","drop",NA,"yes","Arielulus circumdatus",10.4,0.23,NA,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2100,1300,800,0,NA,0,0,"Indomalayan",1,484035.06,28.35,-7.35,10.49,108.23,87.07,97.65,1,168.92,2,0.08,166.35,159.27,1086.79,1289.73,0,"LC","Unknown"
