"","var","rel.inf","rank","type"
"Synurbic","Synurbic",0.07,33,"virus richness"
"Synurbic1","Synurbic",0.03,39,"virus richness"
"Synurbic2","Synurbic",0.04,35,"virus richness"
"Synurbic3","Synurbic",0.03,37,"virus richness"
"Synurbic4","Synurbic",0.05,39,"virus richness"
"Synurbic5","Synurbic",0.02,43,"virus richness"
"Synurbic6","Synurbic",0.05,38,"virus richness"
"Synurbic7","Synurbic",0.05,36,"virus richness"
"Synurbic8","Synurbic",0.05,37,"virus richness"
"Synurbic9","Synurbic",0.05,37,"virus richness"
"Synurbic10","Synurbic",0.07,37,"virus richness"
"Synurbic11","Synurbic",0.08,26,"virus richness"
"Synurbic12","Synurbic",0.03,38,"virus richness"
"Synurbic13","Synurbic",0.02,44,"virus richness"
"Synurbic14","Synurbic",0.04,36,"virus richness"
"Synurbic15","Synurbic",0.03,40,"virus richness"
"Synurbic16","Synurbic",0.04,34,"virus richness"
"Synurbic17","Synurbic",0.15,29,"virus richness"
"Synurbic18","Synurbic",0.04,37,"virus richness"
"Synurbic19","Synurbic",0.04,35,"virus richness"
"Synurbic20","Synurbic",0.06,39,"virus richness"
"Synurbic21","Synurbic",0.05,34,"virus richness"
"Synurbic22","Synurbic",0.09,33,"virus richness"
"Synurbic23","Synurbic",0.03,38,"virus richness"
"Synurbic24","Synurbic",0.04,35,"virus richness"
"Synurbic25","Synurbic",0.03,40,"virus richness"
"Synurbic26","Synurbic",0.05,37,"virus richness"
"Synurbic27","Synurbic",0.07,35,"virus richness"
"Synurbic28","Synurbic",0.03,39,"virus richness"
"Synurbic29","Synurbic",0.03,37,"virus richness"
"Synurbic30","Synurbic",0.07,32,"virus richness"
"Synurbic31","Synurbic",0.02,43,"virus richness"
"Synurbic32","Synurbic",0.03,40,"virus richness"
"Synurbic33","Synurbic",0.05,35,"virus richness"
"Synurbic34","Synurbic",0.05,36,"virus richness"
"Synurbic35","Synurbic",0.04,37,"virus richness"
"Synurbic36","Synurbic",0.04,38,"virus richness"
"Synurbic37","Synurbic",0.03,37,"virus richness"
"Synurbic38","Synurbic",0.05,34,"virus richness"
"Synurbic39","Synurbic",0.05,36,"virus richness"
"Synurbic40","Synurbic",0.02,39,"virus richness"
"Synurbic41","Synurbic",0.12,32,"virus richness"
"Synurbic42","Synurbic",0.06,36,"virus richness"
"Synurbic43","Synurbic",0.02,36,"virus richness"
"Synurbic44","Synurbic",0.06,37,"virus richness"
"Synurbic45","Synurbic",0.05,35,"virus richness"
"Synurbic46","Synurbic",0.05,38,"virus richness"
"Synurbic47","Synurbic",0.04,37,"virus richness"
"Synurbic48","Synurbic",0.07,36,"virus richness"
"Synurbic49","Synurbic",0.04,37,"virus richness"
"Synurbic50","Synurbic",0.01,44,"virus richness"
"Synurbic51","Synurbic",0.02,42,"virus richness"
"Synurbic52","Synurbic",0.03,40,"virus richness"
"Synurbic53","Synurbic",0.04,36,"virus richness"
"Synurbic54","Synurbic",0.11,34,"virus richness"
"Synurbic55","Synurbic",0.08,35,"virus richness"
"Synurbic56","Synurbic",0.02,43,"virus richness"
"Synurbic57","Synurbic",0.04,41,"virus richness"
"Synurbic58","Synurbic",0.03,39,"virus richness"
"Synurbic59","Synurbic",0.05,35,"virus richness"
"Synurbic60","Synurbic",0.02,41,"virus richness"
"Synurbic61","Synurbic",0.05,37,"virus richness"
"Synurbic62","Synurbic",0.04,38,"virus richness"
"Synurbic63","Synurbic",0.06,36,"virus richness"
"Synurbic64","Synurbic",0.03,38,"virus richness"
"Synurbic65","Synurbic",0.05,35,"virus richness"
"Synurbic66","Synurbic",0.04,42,"virus richness"
"Synurbic67","Synurbic",0.05,33,"virus richness"
"Synurbic68","Synurbic",0.02,42,"virus richness"
"Synurbic69","Synurbic",0.05,34,"virus richness"
"Synurbic70","Synurbic",0.04,37,"virus richness"
"Synurbic71","Synurbic",0.04,38,"virus richness"
"Synurbic72","Synurbic",0.05,36,"virus richness"
"Synurbic73","Synurbic",0.05,37,"virus richness"
"Synurbic74","Synurbic",0.08,33,"virus richness"
"Synurbic75","Synurbic",0.07,32,"virus richness"
"Synurbic76","Synurbic",0.06,38,"virus richness"
"Synurbic77","Synurbic",0.03,39,"virus richness"
"Synurbic78","Synurbic",0.05,36,"virus richness"
"Synurbic79","Synurbic",0.03,38,"virus richness"
"Synurbic80","Synurbic",0.04,35,"virus richness"
"Synurbic81","Synurbic",0.07,34,"virus richness"
"Synurbic82","Synurbic",0.08,33,"virus richness"
"Synurbic83","Synurbic",0.03,37,"virus richness"
"Synurbic84","Synurbic",0.02,39,"virus richness"
"Synurbic85","Synurbic",0.03,40,"virus richness"
"Synurbic86","Synurbic",0.03,38,"virus richness"
"Synurbic87","Synurbic",0.04,37,"virus richness"
"Synurbic88","Synurbic",0.05,37,"virus richness"
"Synurbic89","Synurbic",0.04,38,"virus richness"
"Synurbic90","Synurbic",0.08,35,"virus richness"
"Synurbic91","Synurbic",0.05,36,"virus richness"
"Synurbic92","Synurbic",0.08,32,"virus richness"
"Synurbic93","Synurbic",0.03,37,"virus richness"
"Synurbic94","Synurbic",0.04,36,"virus richness"
"Synurbic95","Synurbic",0.04,42,"virus richness"
"Synurbic96","Synurbic",0.07,33,"virus richness"
"Synurbic97","Synurbic",0.05,35,"virus richness"
"Synurbic98","Synurbic",0.06,35,"virus richness"
"Synurbic99","Synurbic",0.04,37,"virus richness"
"Synurbic100","Synurbic",0.18,41,"zoonotic proportion"
"Synurbic110","Synurbic",0.34,41,"zoonotic proportion"
"Synurbic210","Synurbic",0.33,42,"zoonotic proportion"
"Synurbic310","Synurbic",0.34,35,"zoonotic proportion"
"Synurbic410","Synurbic",0.08,47,"zoonotic proportion"
"Synurbic510","Synurbic",0.34,39,"zoonotic proportion"
"Synurbic610","Synurbic",0.34,32,"zoonotic proportion"
"Synurbic710","Synurbic",0.37,35,"zoonotic proportion"
"Synurbic810","Synurbic",0.27,40,"zoonotic proportion"
"Synurbic910","Synurbic",0.23,44,"zoonotic proportion"
"Synurbic101","Synurbic",0.2,44,"zoonotic proportion"
"Synurbic111","Synurbic",0.34,38,"zoonotic proportion"
"Synurbic121","Synurbic",0.23,41,"zoonotic proportion"
"Synurbic131","Synurbic",0.23,45,"zoonotic proportion"
"Synurbic141","Synurbic",0.33,41,"zoonotic proportion"
"Synurbic151","Synurbic",0.13,46,"zoonotic proportion"
"Synurbic161","Synurbic",0.24,45,"zoonotic proportion"
"Synurbic171","Synurbic",0.21,42,"zoonotic proportion"
"Synurbic181","Synurbic",0.27,40,"zoonotic proportion"
"Synurbic191","Synurbic",0.09,48,"zoonotic proportion"
"Synurbic201","Synurbic",0.07,46,"zoonotic proportion"
"Synurbic211","Synurbic",0.35,34,"zoonotic proportion"
"Synurbic221","Synurbic",0.16,45,"zoonotic proportion"
"Synurbic231","Synurbic",0.33,40,"zoonotic proportion"
"Synurbic241","Synurbic",0.07,47,"zoonotic proportion"
"Synurbic251","Synurbic",0.29,35,"zoonotic proportion"
"Synurbic261","Synurbic",0.27,40,"zoonotic proportion"
"Synurbic271","Synurbic",0.33,39,"zoonotic proportion"
"Synurbic281","Synurbic",0.3,38,"zoonotic proportion"
"Synurbic291","Synurbic",0.15,45,"zoonotic proportion"
"Synurbic301","Synurbic",0.3,40,"zoonotic proportion"
"Synurbic311","Synurbic",0.32,35,"zoonotic proportion"
"Synurbic321","Synurbic",0.62,29,"zoonotic proportion"
"Synurbic331","Synurbic",0.14,44,"zoonotic proportion"
"Synurbic341","Synurbic",0.18,44,"zoonotic proportion"
"Synurbic351","Synurbic",0.14,45,"zoonotic proportion"
"Synurbic361","Synurbic",0.37,37,"zoonotic proportion"
"Synurbic371","Synurbic",0.18,46,"zoonotic proportion"
"Synurbic381","Synurbic",0.32,37,"zoonotic proportion"
"Synurbic391","Synurbic",0.18,45,"zoonotic proportion"
"Synurbic401","Synurbic",0.13,44,"zoonotic proportion"
"Synurbic411","Synurbic",0.42,37,"zoonotic proportion"
"Synurbic421","Synurbic",0.22,42,"zoonotic proportion"
"Synurbic431","Synurbic",0.22,40,"zoonotic proportion"
"Synurbic441","Synurbic",0.16,44,"zoonotic proportion"
"Synurbic451","Synurbic",0.17,43,"zoonotic proportion"
"Synurbic461","Synurbic",0.13,46,"zoonotic proportion"
"Synurbic471","Synurbic",0.18,44,"zoonotic proportion"
"Synurbic481","Synurbic",0.13,43,"zoonotic proportion"
"Synurbic491","Synurbic",0.04,47,"zoonotic proportion"
"Synurbic501","Synurbic",0.42,34,"zoonotic proportion"
"Synurbic511","Synurbic",0.14,42,"zoonotic proportion"
"Synurbic521","Synurbic",0.18,44,"zoonotic proportion"
"Synurbic531","Synurbic",0.13,45,"zoonotic proportion"
"Synurbic541","Synurbic",0.2,42,"zoonotic proportion"
"Synurbic551","Synurbic",0.23,35,"zoonotic proportion"
"Synurbic561","Synurbic",0.28,37,"zoonotic proportion"
"Synurbic571","Synurbic",0.15,42,"zoonotic proportion"
"Synurbic581","Synurbic",0.31,39,"zoonotic proportion"
"Synurbic591","Synurbic",0.15,45,"zoonotic proportion"
"Synurbic601","Synurbic",0.1,43,"zoonotic proportion"
"Synurbic611","Synurbic",0.06,46,"zoonotic proportion"
"Synurbic621","Synurbic",0.06,46,"zoonotic proportion"
"Synurbic631","Synurbic",0.3,36,"zoonotic proportion"
"Synurbic641","Synurbic",0.1,46,"zoonotic proportion"
"Synurbic651","Synurbic",0.13,46,"zoonotic proportion"
"Synurbic661","Synurbic",0.04,50,"zoonotic proportion"
"Synurbic671","Synurbic",0.12,45,"zoonotic proportion"
"Synurbic681","Synurbic",0.19,41,"zoonotic proportion"
"Synurbic691","Synurbic",0.26,41,"zoonotic proportion"
"Synurbic701","Synurbic",0.23,40,"zoonotic proportion"
"Synurbic711","Synurbic",0.23,44,"zoonotic proportion"
"Synurbic721","Synurbic",0.26,40,"zoonotic proportion"
"Synurbic731","Synurbic",0.22,42,"zoonotic proportion"
"Synurbic741","Synurbic",0.25,40,"zoonotic proportion"
"Synurbic751","Synurbic",0.26,43,"zoonotic proportion"
"Synurbic761","Synurbic",0.17,42,"zoonotic proportion"
"Synurbic771","Synurbic",0.44,28,"zoonotic proportion"
"Synurbic781","Synurbic",0.27,38,"zoonotic proportion"
"Synurbic791","Synurbic",0.24,42,"zoonotic proportion"
"Synurbic801","Synurbic",0.36,40,"zoonotic proportion"
