"","tip","cites","vcites"
"1","Acerodon_celebensis",1,1
"2","Acerodon_humilis",0,0
"3","Acerodon_jubatus",4,3
"4","Acerodon_leucotis",0,0
"5","Acerodon_mackloti",0,0
"6","Aethalops_aequalis",0,0
"7","Aethalops_alecto",0,0
"8","Alionycteris_paucidentata",0,0
"9","Ametrida_centurio",0,0
"10","Amorphochilus_schnablii",0,0
"11","Anoura_canishina",0,0
"12","Anoura_caudifer",6,1
"13","Anoura_cultrata",1,0
"14","Anoura_fistulata",1,0
"15","Anoura_geoffroyi",15,0
"16","Anoura_latidens",0,0
"17","Anoura_luismanueli",0,0
"18","Anthops_ornatus",0,0
"19","Antrozous_pallidus",34,0
"20","Aproteles_bulmerae",0,0
"21","Ardops_nichollsi",1,0
"22","Arielulus_aureocollaris",0,0
"23","Arielulus_circumdatus",0,0
"24","Arielulus_cuprosus",0,0
"25","Arielulus_societatis",0,0
"26","Arielulus_torquatus",0,0
"27","Ariteus_flavescens",0,0
"28","Artibeus_amplus",1,0
"29","Artibeus_concolor",0,0
"30","Artibeus_fimbriatus",5,2
"31","Artibeus_fraterculus",1,0
"32","Artibeus_hirsutus",3,0
"33","Artibeus_inopinatus",0,0
"34","Artibeus_jamaicensis",104,27
"35","Artibeus_lituratus",111,21
"36","Artibeus_obscurus",9,1
"37","Artibeus_planirostris",39,9
"38","Asellia_arabica",0,0
"39","Asellia_patrizii",0,0
"40","Asellia_tridens",5,0
"41","Aselliscus_stoliczkanus",12,3
"42","Aselliscus_tricuspidatus",0,0
"43","Balantiopteryx_infusca",0,0
"44","Balantiopteryx_io",0,0
"45","Balantiopteryx_plicata",6,0
"46","Balionycteris_maculata",0,0
"47","Barbastella_barbastellus",24,2
"48","Barbastella_beijingensis",0,0
"49","Barbastella_leucomelas",1,0
"50","Bauerus_dubiaquercus",0,0
"51","Brachyphylla_cavernarum",4,1
"52","Brachyphylla_nana",0,0
"53","Cardioderma_cor",3,0
"54","Carollia_benkeithi",0,0
"55","Carollia_brevicauda",19,1
"56","Carollia_castanea",4,1
"57","Carollia_manu",1,0
"58","Carollia_perspicillata",203,19
"59","Carollia_sowelli",8,1
"60","Carollia_subrufa",0,0
"61","Casinycteris_argynnis",3,0
"62","Casinycteris_campomaanensis",1,0
"63","Casinycteris_ophiodon",0,0
"64","Centronycteris_centralis",1,0
"65","Centronycteris_maximiliani",3,0
"66","Centurio_senex",1,0
"67","Chaerephon_aloysiisabaudiae",0,0
"68","Chaerephon_ansorgei",0,0
"69","Chaerephon_atsinanana",0,0
"70","Chaerephon_bemmeleni",0,0
"71","Chaerephon_bivittatus",1,0
"72","Chaerephon_bregullae",0,0
"73","Chaerephon_chapini",0,0
"74","Chaerephon_gallagheri",0,0
"75","Chaerephon_jobensis",0,0
"76","Chaerephon_johorensis",0,0
"77","Chaerephon_major",0,0
"78","Chaerephon_nigeriae",1,1
"79","Chaerephon_plicatus",3,0
"80","Chaerephon_pumilus",5,3
"81","Chaerephon_russatus",0,0
"82","Chaerephon_solomonis",0,0
"83","Chaerephon_tomensis",0,0
"84","Chalinolobus_dwyeri",0,0
"85","Chalinolobus_gouldii",15,1
"86","Chalinolobus_morio",2,0
"87","Chalinolobus_neocaledonicus",1,0
"88","Chalinolobus_nigrogriseus",1,0
"89","Chalinolobus_picatus",0,0
"90","Chalinolobus_tuberculatus",4,1
"91","Cheiromeles_parvidens",0,0
"92","Cheiromeles_torquatus",3,0
"93","Chilonatalus_micropus",0,0
"94","Chilonatalus_tumidifrons",0,0
"95","Chiroderma_doriae",1,0
"96","Chiroderma_improvisum",1,0
"97","Chiroderma_salvini",0,0
"98","Chiroderma_trinitatum",1,0
"99","Chiroderma_villosum",5,0
"100","Chiroderma_vizottoi",1,0
"101","Chironax_melanocephalus",0,0
"102","Choeroniscus_godmani",2,1
"103","Choeroniscus_minor",1,0
"104","Choeroniscus_periosus",0,0
"105","Choeronycteris_mexicana",10,0
"106","Chrotopterus_auritus",7,0
"107","Cistugo_lesueuri",1,0
"108","Cistugo_seabrae",0,0
"109","Cloeotis_percivali",0,0
"110","Coelops_frithii",1,0
"111","Coelops_hirsutus",0,0
"112","Coelops_robinsoni",0,0
"113","Coleura_afra",4,1
"114","Coleura_kibomalandy",0,0
"115","Coleura_seychellensis",0,0
"116","Cormura_brevirostris",3,0
"117","Corynorhinus_mexicanus",5,0
"118","Corynorhinus_rafinesquii",8,1
"119","Corynorhinus_townsendii",10,0
