"","species","gen","fam","clade","MSW3_sciName_matched","tip","vfam","Virus","dum_virus","zoo_sp","zfam","dum_zvirus"
"1","Acerodon celebensis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis",6,8,1,2,2,1
"2","Acerodon humilis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_humilis","Acerodon_humilis",0,0,0,0,0,0
"3","Acerodon jubatus","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_jubatus","Acerodon_jubatus",0,0,0,0,0,0
"4","Acerodon leucotis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_leucotis","Acerodon_leucotis",0,0,0,0,0,0
"5","Acerodon mackloti","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_mackloti","Acerodon_mackloti",0,0,0,0,0,0
"6","Aethalops aequalis","Aethalops","PTEROPODIDAE","Yinpterochiroptera","Aethalops_aequalis","Aethalops_aequalis",0,0,0,0,0,0
"7","Aethalops alecto","Aethalops","PTEROPODIDAE","Yinpterochiroptera","Aethalops_alecto","Aethalops_alecto",0,0,0,0,0,0
"8","Alionycteris paucidentata","Alionycteris","PTEROPODIDAE","Yinpterochiroptera","Alionycteris_paucidentata","Alionycteris_paucidentata",0,0,0,0,0,0
"9","Ametrida centurio","Ametrida","PHYLLOSTOMIDAE","Yangochiroptera","Ametrida_centurio","Ametrida_centurio",0,0,0,0,0,0
"10","Amorphochilus schnablii","Amorphochilus","FURIPTERIDAE","Yangochiroptera","Amorphochilus_schnablii","Amorphochilus_schnablii",0,0,0,0,0,0
"11","Anoura canishina","Anoura","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Anoura_canishina",0,0,0,0,0,0
"12","Anoura caudifer","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer",3,4,1,1,1,1
"13","Anoura cultrata","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_cultrata","Anoura_cultrata",0,0,0,0,0,0
"14","Anoura fistulata","Anoura","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Anoura_fistulata",0,0,0,0,0,0
"15","Anoura geoffroyi","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi",1,1,1,0,0,0
"16","Anoura latidens","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_latidens","Anoura_latidens",0,0,0,0,0,0
"17","Anoura luismanueli","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_luismanueli","Anoura_luismanueli",0,0,0,0,0,0
"18","Anthops ornatus","Anthops","HIPPOSIDERIDAE","Yinpterochiroptera","Anthops_ornatus","Anthops_ornatus",0,0,0,0,0,0
"19","Antrozous pallidus","Antrozous","VESPERTILIONIDAE","Yangochiroptera","Antrozous_pallidus","Antrozous_pallidus",2,2,1,1,1,1
"20","Aproteles bulmerae","Aproteles","PTEROPODIDAE","Yinpterochiroptera","Aproteles_bulmerae","Aproteles_bulmerae",0,0,0,0,0,0
"21","Ardops nichollsi","Ardops","PHYLLOSTOMIDAE","Yangochiroptera","Ardops_nichollsi","Ardops_nichollsi",1,1,1,0,0,0
"22","Arielulus aureocollaris","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_aureocollaris","Arielulus_aureocollaris",0,0,0,0,0,0
"23","Arielulus circumdatus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_circumdatus","Arielulus_circumdatus",0,0,0,0,0,0
"24","Arielulus cuprosus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_cuprosus","Arielulus_cuprosus",0,0,0,0,0,0
"25","Arielulus societatis","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_societatis","Arielulus_societatis",0,0,0,0,0,0
"26","Arielulus torquatus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_torquatus","Arielulus_torquatus",0,0,0,0,0,0
"27","Ariteus flavescens","Ariteus","PHYLLOSTOMIDAE","Yangochiroptera","Ariteus_flavescens","Ariteus_flavescens",0,0,0,0,0,0
"28","Artibeus amplus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_amplus","Artibeus_amplus",0,0,0,0,0,0
"29","Artibeus concolor","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_concolor","Artibeus_concolor",0,0,0,0,0,0
"30","Artibeus fimbriatus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_fimbriatus","Artibeus_fimbriatus",1,1,1,1,1,1
"31","Artibeus fraterculus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_fraterculus","Artibeus_fraterculus",0,0,0,0,0,0
"32","Artibeus hirsutus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_hirsutus","Artibeus_hirsutus",1,1,1,0,0,0
"33","Artibeus inopinatus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_inopinatus","Artibeus_inopinatus",0,0,0,0,0,0
"34","Artibeus jamaicensis","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_jamaicensis","Artibeus_jamaicensis",8,13,1,5,4,1
"35","Artibeus lituratus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_lituratus","Artibeus_lituratus",12,18,1,5,5,1
"36","Artibeus obscurus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_obscurus","Artibeus_obscurus",4,5,1,3,2,1
"37","Artibeus planirostris","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Artibeus_planirostris",13,18,1,6,6,1
"38","Asellia arabica","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera",NA,"Asellia_arabica",0,0,0,0,0,0
"39","Asellia patrizii","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera","Asellia_patrizii","Asellia_patrizii",0,0,0,0,0,0
"40","Asellia tridens","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera","Asellia_tridens","Asellia_tridens",0,0,0,0,0,0
"41","Aselliscus stoliczkanus","Aselliscus","HIPPOSIDERIDAE","Yinpterochiroptera","Aselliscus_stoliczkanus","Aselliscus_stoliczkanus",18,26,1,6,6,1
"42","Aselliscus tricuspidatus","Aselliscus","HIPPOSIDERIDAE","Yinpterochiroptera","Aselliscus_tricuspidatus","Aselliscus_tricuspidatus",0,0,0,0,0,0
"43","Balantiopteryx infusca","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_infusca","Balantiopteryx_infusca",0,0,0,0,0,0
"44","Balantiopteryx io","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_io","Balantiopteryx_io",0,0,0,0,0,0
"45","Balantiopteryx plicata","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_plicata","Balantiopteryx_plicata",0,0,0,0,0,0
"46","Balionycteris maculata","Balionycteris","PTEROPODIDAE","Yinpterochiroptera","Balionycteris_maculata","Balionycteris_maculata",1,1,1,1,1,1
"47","Barbastella barbastellus","Barbastella","VESPERTILIONIDAE","Yangochiroptera","Barbastella_barbastellus","Barbastella_barbastellus",3,3,1,1,1,1
"48","Barbastella beijingensis","Barbastella","VESPERTILIONIDAE","Yangochiroptera",NA,"Barbastella_beijingensis",0,0,0,0,0,0
"49","Barbastella leucomelas","Barbastella","VESPERTILIONIDAE","Yangochiroptera","Barbastella_leucomelas","Barbastella_leucomelas",0,0,0,0,0,0
"50","Bauerus dubiaquercus","Bauerus","VESPERTILIONIDAE","Yangochiroptera","Bauerus_dubiaquercus","Bauerus_dubiaquercus",1,2,1,0,0,0
"51","Brachyphylla cavernarum","Brachyphylla","PHYLLOSTOMIDAE","Yangochiroptera","Brachyphylla_cavernarum","Brachyphylla_cavernarum",0,0,0,0,0,0
"52","Brachyphylla nana","Brachyphylla","PHYLLOSTOMIDAE","Yangochiroptera","Brachyphylla_nana","Brachyphylla_nana",0,0,0,0,0,0
"53","Cardioderma cor","Cardioderma","MEGADERMATIDAE","Yinpterochiroptera","Cardioderma_cor","Cardioderma_cor",4,5,1,0,0,0
"54","Carollia benkeithi","Carollia","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Carollia_benkeithi",0,0,0,0,0,0
"55","Carollia brevicauda","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_brevicauda","Carollia_brevicauda",2,2,1,1,1,1
