"cnames","species","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete","iucn2020_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n"
"Acerodon celebensis","Acerodon celebensis","Acerodon_celebensis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis",17,1,1,"keep","keep",0,"yes","Acerodon celebensis",384.84,NA,201.25,133.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1500,0,1500,1,NA,1,0,"Australasian",2
"Acerodon humilis","Acerodon humilis","Acerodon_humilis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_humilis",0,0,0,"drop","drop",0,"yes","Acerodon humilis",352.43,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Australasian",1
"Acerodon jubatus","Acerodon jubatus","Acerodon_jubatus","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_jubatus",0,4,3,"keep","keep",0,"yes","Acerodon jubatus",1087.04,NA,NA,188.04,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3650,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,NA,0,0,"Indomalayan",1
"Acerodon leucotis","Acerodon leucotis","Acerodon_leucotis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_leucotis",0,0,0,"drop","drop",0,"yes","Acerodon leucotis",352.07,NA,NA,139.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,0,NA,1,NA,1,0,"Indomalayan",1
"Acerodon mackloti","Acerodon mackloti","Acerodon_mackloti","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_mackloti",0,0,0,"drop","drop",0,"yes","Acerodon mackloti",467.93,NA,NA,145.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,450,0,450,1,NA,0,0,"Australasian",2
"Aethalops aequalis","Aethalops aequalis","Aethalops_aequalis","Aethalops","PTEROPODIDAE","Yinpterochiroptera","Aethalops_aequalis",0,0,0,"drop","drop",0,"yes","Aethalops aequalis",13.9,NA,73,44,NA,NA,NA,NA,NA,152.2,NA,0.995,NA,365,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,550,NA,1,NA,0,0,"Indomalayan",2
"Aethalops alecto","Aethalops alecto","Aethalops_alecto","Aethalops","PTEROPODIDAE","Yinpterochiroptera","Aethalops_alecto",0,0,0,"drop","drop",NA,"yes","Aethalops alecto",15,NA,73,46.49,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,70,30,0,0,2,1,"Ar",1,0,0,0,1,2700,1000,1700,1,NA,1,0,"Indomalayan",1
"Alionycteris paucidentata","Alionycteris paucidentata","Alionycteris_paucidentata","Alionycteris","PTEROPODIDAE","Yinpterochiroptera","Alionycteris_paucidentata",0,0,0,"drop","drop",NA,"yes","Alionycteris paucidentata",16.24,NA,63.9,44.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2250,1500,750,1,NA,0,0,"Indomalayan",1
"Ametrida centurio","Ametrida centurio","Ametrida_centurio","Ametrida","PHYLLOSTOMIDAE","Yangochiroptera","Ametrida_centurio",0,0,0,"drop","drop",NA,"yes","Ametrida centurio",11.305,0.29,55,29,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2100,NA,NA,0,NA,1,0,"Neotropical",1
"Amorphochilus schnablii","Amorphochilus schnablii","Amorphochilus_schnablii","Amorphochilus","FURIPTERIDAE","Yangochiroptera","Amorphochilus_schnablii",0,0,0,"drop","drop",1,"yes","Amorphochilus schnablii",4.15,NA,NA,35.99,NA,NA,NA,NA,NA,NA,NA,0.995,1,NA,0.06,NA,NA,2190,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,50,1950,0,NA,1,0,"Neotropical",1
