row,trainRMSE,testRMSE,best,n.trees,interaction.depth,shrinkage,seed,id,id2
1,19.84871798321845,67.51029200991303,14814,15000,2,0.001,1,15000 2 0.001,1
2,23.753368352053066,27.755152869238632,14557,15000,2,0.001,2,15000 2 0.001,1
3,39.42219495695731,75.85407666564528,4333,15000,2,0.001,3,15000 2 0.001,1
4,36.77114567318995,57.50004707648007,5477,15000,2,0.001,4,15000 2 0.001,1
5,45.8188781849125,52.72310666557933,3644,15000,2,0.001,5,15000 2 0.001,1
6,35.52079796936832,57.49028998693278,6672,15000,2,0.001,6,15000 2 0.001,1
7,35.76988876821649,30.672239299800456,6715,15000,2,0.001,7,15000 2 0.001,1
8,29.487977564883515,45.72657332006366,7900,15000,2,0.001,8,15000 2 0.001,1
9,40.957840547445024,26.27550118456735,5479,15000,2,0.001,9,15000 2 0.001,1
10,21.173539488021763,62.8357350130082,14936,15000,2,0.001,10,15000 2 0.001,1
11,30.268680734058183,61.75484371776865,14866,15000,2,5e-4,1,15000 2 5e-04,2
12,34.56683354318324,27.24036658582472,14950,15000,2,5e-4,2,15000 2 5e-04,2
13,39.921942791431356,76.06655718288643,8330,15000,2,5e-4,3,15000 2 5e-04,2
14,37.2173248678468,57.352845474372884,10640,15000,2,5e-4,4,15000 2 5e-04,2
15,45.5490050926455,53.127813093325265,7410,15000,2,5e-4,5,15000 2 5e-04,2
16,36.682418152303654,57.39741639064981,12336,15000,2,5e-4,6,15000 2 5e-04,2
17,37.746058421878686,30.510669659215374,12255,15000,2,5e-4,7,15000 2 5e-04,2
18,32.86621510704896,45.17737277913091,13267,15000,2,5e-4,8,15000 2 5e-04,2
19,42.06020656988499,26.49049192884076,10387,15000,2,5e-4,9,15000 2 5e-04,2
20,32.99084124467384,56.3545807424841,14940,15000,2,5e-4,10,15000 2 5e-04,2
21,19.45130840050855,66.93660414633304,12544,15000,3,0.001,1,15000 3 0.001,3
22,18.169976211183744,28.39384809778167,14553,15000,3,0.001,2,15000 3 0.001,3
23,39.14703379118221,76.75789019574434,4115,15000,3,0.001,3,15000 3 0.001,3
24,35.56383545877336,58.43945101630229,5425,15000,3,0.001,4,15000 3 0.001,3
25,42.16388714075732,51.7184968033318,4158,15000,3,0.001,5,15000 3 0.001,3
26,32.363272880616286,58.36663934044177,6710,15000,3,0.001,6,15000 3 0.001,3
27,40.0606336634132,29.954854839261486,4985,15000,3,0.001,7,15000 3 0.001,3
28,32.85063749089043,44.545079088927146,5875,15000,3,0.001,8,15000 3 0.001,3
29,39.21638842187153,26.187823353791813,5483,15000,3,0.001,9,15000 3 0.001,3
30,33.280649765363265,56.170732991239696,6399,15000,3,0.001,10,15000 3 0.001,3
31,28.28151865561523,62.75955941472708,14811,15000,3,5e-4,1,15000 3 5e-04,4
32,31.192287794727214,27.202377825370878,14989,15000,3,5e-4,2,15000 3 5e-04,4
33,39.15667746037309,76.4158147470832,8337,15000,3,5e-4,3,15000 3 5e-04,4
34,31.58874222821974,58.53549128212331,13302,15000,3,5e-4,4,15000 3 5e-04,4
35,44.022930672036935,52.586588763818924,7520,15000,3,5e-4,5,15000 3 5e-04,4
36,34.35428133373554,57.63374308099112,12021,15000,3,5e-4,6,15000 3 5e-04,4
37,36.82263113655788,30.181878670825945,11520,15000,3,5e-4,7,15000 3 5e-04,4
38,33.58857220786971,44.50562132690401,11410,15000,3,5e-4,8,15000 3 5e-04,4
39,43.417836906934006,26.76234960864051,8894,15000,3,5e-4,9,15000 3 5e-04,4
40,34.51740094778161,54.9925170015605,12036,15000,3,5e-4,10,15000 3 5e-04,4
41,27.35746473185228,62.189336309714385,7528,15000,4,0.001,1,15000 4 0.001,5
42,18.360624994097282,28.726056481892893,12533,15000,4,0.001,2,15000 4 0.001,5
43,38.540652718352064,77.19555755886194,4117,15000,4,0.001,3,15000 4 0.001,5
44,35.15586541679428,59.27487396629751,5304,15000,4,0.001,4,15000 4 0.001,5
45,41.94289790154225,52.36328367197987,4092,15000,4,0.001,5,15000 4 0.001,5
46,33.740710050537494,58.09003751349311,5703,15000,4,0.001,6,15000 4 0.001,5
47,39.230517690756614,29.71839990174754,4985,15000,4,0.001,7,15000 4 0.001,5
48,35.639309211633865,42.83274383855654,5004,15000,4,0.001,8,15000 4 0.001,5
49,42.60838152748832,26.975842472558398,4509,15000,4,0.001,9,15000 4 0.001,5
50,38.53552296919507,54.68705174984186,4824,15000,4,0.001,10,15000 4 0.001,5
51,28.398679412401076,61.743133800826364,13878,15000,4,5e-4,1,15000 4 5e-04,6
52,29.65478216303138,27.354217244868025,14950,15000,4,5e-4,2,15000 4 5e-04,6
53,39.62244751727525,77.54015280410873,7723,15000,4,5e-4,3,15000 4 5e-04,6
54,30.998195325387417,59.497983109760874,13070,15000,4,5e-4,4,15000 4 5e-04,6
55,43.44105434259459,52.65628851377156,7520,15000,4,5e-4,5,15000 4 5e-04,6
56,32.891698640509325,58.37544477148309,12079,15000,4,5e-4,6,15000 4 5e-04,6
57,35.727029596756,29.9657268561248,11644,15000,4,5e-4,7,15000 4 5e-04,6
58,35.378798805730334,42.99078579382527,10119,15000,4,5e-4,8,15000 4 5e-04,6
59,44.22155853145607,27.20619801418763,8345,15000,4,5e-4,9,15000 4 5e-04,6
60,34.756111758443744,55.87855057517432,11436,15000,4,5e-4,10,15000 4 5e-04,6
61,10.778062324752963,81.92453023099368,4314,5000,2,0.01,1,5000 2 0.01,7
62,19.361451500744643,28.830118126904402,2067,5000,2,0.01,2,5000 2 0.01,7
63,40.77535202549533,77.0771681047819,387,5000,2,0.01,3,5000 2 0.01,7
64,32.31379682681589,57.300397296363684,672,5000,2,0.01,4,5000 2 0.01,7
65,46.9459370520908,53.62300928436745,336,5000,2,0.01,5,5000 2 0.01,7
66,38.697889628804646,58.128702389291924,541,5000,2,0.01,6,5000 2 0.01,7
67,45.69160632635373,29.605453813601194,412,5000,2,0.01,7,5000 2 0.01,7
68,34.670463199614424,45.16154749085386,637,5000,2,0.01,8,5000 2 0.01,7
69,30.41952715367698,25.45559043547277,972,5000,2,0.01,9,5000 2 0.01,7
70,16.872153888315243,65.84529108139132,2238,5000,2,0.01,10,5000 2 0.01,7
71,10.4807528235859,77.40169343690214,2637,5000,3,0.01,1,5000 3 0.01,8
72,23.905045684016233,27.66852634460965,1112,5000,3,0.01,2,5000 3 0.01,8
73,37.283070538682736,75.40735656807747,495,5000,3,0.01,3,5000 3 0.01,8
74,36.411522070343004,57.27764613370563,483,5000,3,0.01,4,5000 3 0.01,8
75,46.18668902459397,54.347761530259504,334,5000,3,0.01,5,5000 3 0.01,8
76,35.07598731132649,59.23059821134837,583,5000,3,0.01,6,5000 3 0.01,8
77,44.536921024382565,29.11559081122182,411,5000,3,0.01,7,5000 3 0.01,8
78,32.899093523966485,44.73359532227733,614,5000,3,0.01,8,5000 3 0.01,8
79,42.29923279604753,25.724733313778003,470,5000,3,0.01,9,5000 3 0.01,8
80,33.81295949134487,55.18845600203514,637,5000,3,0.01,10,5000 3 0.01,8
81,17.120102001399708,67.8141430637585,1306,5000,4,0.01,1,5000 4 0.01,9
82,22.251685970053952,27.39460932230649,1087,5000,4,0.01,2,5000 4 0.01,9
83,36.44027745144458,76.69865950052171,494,5000,4,0.01,3,5000 4 0.01,9
84,36.13425425364036,58.31229072719705,471,5000,4,0.01,4,5000 4 0.01,9
