"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","seed","id","id2"
"1",1,0.958234334963895,0.90120415982485,0.96551724137931,0.555555555555556,7088,15000,2,0.001,1,"15000 2 0.001","1"
"2",2,0.971465175867692,0.854862251413976,0.955665024630542,0.518518518518518,8788,15000,2,0.001,2,"15000 2 0.001","1"
"3",3,0.955945725599814,0.892902754971721,0.945812807881773,0.62962962962963,5859,15000,2,0.001,3,"15000 2 0.001","1"
"4",4,0.950256231073841,0.943167305236271,0.970443349753695,0.611111111111111,6355,15000,2,0.001,4,"15000 2 0.001","1"
"5",5,0.966136734218495,0.914796569968984,0.955665024630542,0.5,9060,15000,2,0.001,5,"15000 2 0.001","1"
"6",6,0.957681108781738,0.884418901660281,0.96551724137931,0.574074074074074,6249,15000,2,0.001,6,"15000 2 0.001","1"
"7",7,0.945224784532961,0.937237730341179,0.975369458128079,0.666666666666667,5257,15000,2,0.001,7,"15000 2 0.001","1"
"8",8,0.959928954111344,0.896825396825397,0.950738916256158,0.611111111111111,7025,15000,2,0.001,8,"15000 2 0.001","1"
"9",9,0.967773119030981,0.9098704615946,0.96551724137931,0.518518518518518,9694,15000,2,0.001,9,"15000 2 0.001","1"
"10",10,0.962846494293035,0.912059843094326,0.955665024630542,0.648148148148148,9126,15000,2,0.001,10,"15000 2 0.001","1"
"11",11,0.956988120195667,0.900930487137384,0.96551724137931,0.537037037037037,13741,15000,2,5e-04,1,"15000 2 5e-04","2"
"12",12,0.966078499883531,0.855956942163839,0.960591133004926,0.555555555555556,14031,15000,2,5e-04,2,"15000 2 5e-04","2"
"13",13,0.957058001397624,0.891990512680168,0.945812807881773,0.62962962962963,12376,15000,2,5e-04,3,"15000 2 5e-04","2"
"14",14,0.944508502212905,0.942437511403029,0.970443349753695,0.611111111111111,10372,15000,2,5e-04,4,"15000 2 5e-04","2"
"15",15,0.959503843466108,0.916438606093778,0.955665024630542,0.5,14390,15000,2,5e-04,5,"15000 2 5e-04","2"
"16",16,0.9622583275099,0.883871556285349,0.96551724137931,0.574074074074074,14729,15000,2,5e-04,6,"15000 2 5e-04","2"
"17",17,0.946168180759376,0.936964057653713,0.975369458128079,0.666666666666667,10806,15000,2,5e-04,7,"15000 2 5e-04","2"
"18",18,0.960936408106219,0.895821930304689,0.950738916256158,0.611111111111111,14711,15000,2,5e-04,8,"15000 2 5e-04","2"
"19",19,0.959719310505474,0.913975551906586,0.970443349753695,0.537037037037037,14986,15000,2,5e-04,9,"15000 2 5e-04","2"
"20",20,0.956574656417424,0.912515964240102,0.955665024630542,0.648148148148148,14806,15000,2,5e-04,10,"15000 2 5e-04","2"
"21",21,0.965362217563475,0.901751505199781,0.960591133004926,0.555555555555556,5779,15000,3,0.001,1,"15000 3 0.001","3"
"22",22,0.972728860936408,0.855044699872286,0.960591133004926,0.537037037037037,5804,15000,3,0.001,2,"15000 3 0.001","3"
"23",23,0.964581877474959,0.892172961138478,0.940886699507389,0.62962962962963,5202,15000,3,0.001,3,"15000 3 0.001","3"
"24",24,0.954478220358724,0.944079547527823,0.970443349753695,0.611111111111111,4659,15000,3,0.001,4,"15000 3 0.001","3"
