Species_Name,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,Order,Family,BM,BR,Diet,WA,LS,AspectRatio,Synurbic,UrbanStatus
Acerodon_celebensis,Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_celebensis,5,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acerodon_humilis,Acerodon_humilis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_humilis,0,0,imputed,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acerodon_jubatus,Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_jubatus,1,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acerodon_leucotis,Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_leucotis,0,0,imputed,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acerodon_mackloti,Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_mackloti,0,0,imputed,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethalops_aequalis,Aethalops_aequalis_PTEROPODIDAE_CHIROPTERA,Aethalops,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Aethalops_aequalis,2,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethalops_alecto,Aethalops_alecto_PTEROPODIDAE_CHIROPTERA,Aethalops,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Aethalops_alecto,6,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alionycteris_paucidentata,Alionycteris_paucidentata_PTEROPODIDAE_CHIROPTERA,Alionycteris,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Alionycteris_paucidentata,5,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ametrida_centurio,Ametrida_centurio_PHYLLOSTOMIDAE_CHIROPTERA,Ametrida,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Ametrida_centurio,6,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amorphochilus_schnablii,Amorphochilus_schnablii_FURIPTERIDAE_CHIROPTERA,Amorphochilus,FURIPTERIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Amorphochilus_schnablii,0,0,imputed,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoura_canishina,Anoura_canishina_PHYLLOSTOMIDAE_CHIROPTERA,Anoura,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,NA,0,0,imputed,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoura_caudifer,Anoura_caudifer_PHYLLOSTOMIDAE_CHIROPTERA,Anoura,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Anoura_caudifer,11,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoura_cultrata,Anoura_cultrata_PHYLLOSTOMIDAE_CHIROPTERA,Anoura,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Anoura_cultrata,1,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoura_fistulata,Anoura_fistulata_PHYLLOSTOMIDAE_CHIROPTERA,Anoura,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,NA,0,0,imputed,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
