"","Host","virus"
"1","acerodon celebensis",9
"2","aeorestes cinereus",2
"3","afronycteris nana",5
"4","anoura caudifer",4
"5","anoura geoffroyi",6
"6","antrozous dubiaquercus",2
"7","antrozous pallidus",1
"8","artibeus fimbriatus",1
"9","artibeus glaucus",1
"10","artibeus jamaicensis",12
"11","artibeus lituratus",21
"12","artibeus obscurus",4
"13","artibeus phaeotis",4
"14","artibeus planirostris",16
"15","artibeus toltecus",1
"16","aselliscus stoliczkanus",10
"17","balionycteris maculata",1
"18","barbastella barbastellus",2
"19","cardioderma cor",4
"20","carollia brevicauda",6
"21","carollia perspicillata",36
"22","carollia sowelli",5
"23","chaerephon leucogaster",2
"24","chaerephon plicatus",5
"25","chaerephon pumilus",16
"26","chaerephon pusillus",1
"27","chalinolobus gouldii",4
"28","chalinolobus morio",3
"29","chrotopterus auritus",1
"30","coleura afra",10
"31","coleura kibomalandy",1
"32","corynorhinus rafinesquii",1
"33","corynorhinus townsendii",1
"34","cynomops abrasus",4
"35","cynomops planirostris",3
"36","cynopterus brachyotis",12
"37","cynopterus horsfieldii",1
"38","cynopterus sphinx",11
"39","dasypterus ega",1
"40","dasypterus intermedius",1
"41","dasypterus xanthinus",1
"42","desmodus rotundus",40
"43","diaemus youngi",3
"44","diclidurus albus",1
"45","diphylla ecaudata",5
"46","dobsonia moluccensis",7
"47","doryrhina cyclops",6
"48","dyacopterus spadiceus",1
"49","eidolon dupreanum",2
"50","eidolon helvum",206
"51","eonycteris spelaea",26
"52","epomophorus gambianus",7
"53","epomophorus labiatus",7
"54","epomophorus wahlbergi",1
"55","epomops buettikoferi",1
"56","epomops dobsonii",1
"57","epomops franqueti",12
"58","eptesicus brasiliensis",1
"59","eptesicus diminutus",2
"60","eptesicus furinalis",3
"61","eptesicus fuscus",45
"62","eptesicus hottentotus",1
"63","eptesicus isabellinus",13
"64","eptesicus japonensis",2
"65","eptesicus nilssonii",6
"66","eptesicus regulus",3
"67","eptesicus serotinus",24
"68","euderma maculatum",1
"69","eumops auripendulus",1
"70","eumops bonariensis",1
"71","eumops glaucinus",2
"72","eumops patagonicus",1
"73","eumops perotis",1
"74","falsistrellus mackenziei",1
"75","glauconycteris argentata",1
"76","glauconycteris variegata",1
"77","glossophaga commissarisi",1
"78","glossophaga soricina",14
"79","hipposideros abae",5
"80","hipposideros armiger",41
"81","hipposideros beatus",1
"82","hipposideros bicolor",1
"83","hipposideros caffer",30
"84","hipposideros cervinus",6
"85","hipposideros cineraceus",5
"86","hipposideros diadema",7
"87","hipposideros fuliginosus",1
"88","hipposideros galeritus",4
"89","hipposideros grandis",4
"90","hipposideros larvatus",45
"91","hipposideros lekaguli",11
"92","hipposideros pomona",36
"93","hipposideros pratti",10
"94","hipposideros ruber",24
"95","hipposideros terasensis",1
"96","hipposideros turpis",2
"97","histiotus macrotus",1
"98","histiotus montanus",1
"99","histiotus velatus",1
"100","hsunycteris thomasi",1
"101","hypsignathus monstrosus",6
"102","hypsugo alaschanicus",1
"103","hypsugo pulveratus",3
"104","hypsugo savii",8
"105","ia io",12
"106","kerivoula argentata",1
"107","kerivoula titania",2
"108","laephotis capensis",17
"109","lasionycteris noctivagans",2
"110","lasiurus blossevillii",1
"111","lasiurus borealis",1
"112","lasiurus seminolus",1
"113","leptonycteris nivalis",1
"114","lichonycteris obscura",1
"115","lissonycteris angolensis",8
