"Host","zoo_sp","zfam","dum_zvirus"
"Acerodon celebensis",2,2,1
"Anoura caudifer",1,1,1
"Anoura geoffroyi",0,NA,0
"Antrozous pallidus",1,1,1
"Ardops nichollsi",0,NA,0
"Artibeus cinereus",0,NA,0
"Artibeus fimbriatus",1,1,1
"Artibeus glaucus",0,NA,0
"Artibeus hirsutus",0,NA,0
"Artibeus jamaicensis",5,4,1
"Artibeus lituratus",5,5,1
"Artibeus obscurus",3,2,1
"Artibeus planirostris",6,6,1
"Artibeus toltecus",0,NA,0
"Aselliscus stoliczkanus",6,6,1
"Balionycteris maculata",1,1,1
"Barbastella barbastellus",1,1,1
"Bauerus dubiaquercus",0,NA,0
"Cardioderma cor",0,NA,0
"Carollia brevicauda",1,1,1
"Carollia perspicillata",6,5,1
"Carollia sowelli",0,NA,0
"Casinycteris argynnis",1,1,1
"Chalinolobus gouldii",1,1,1
"Chalinolobus morio",0,NA,0
"Chalinolobus tuberculatus",0,NA,0
"Choeroniscus godmani",0,NA,0
"Chrotopterus auritus",1,1,1
"Cnephaeus hottentotus",0,NA,0
"Cnephaeus isabellinus",1,1,1
"Cnephaeus japonensis",0,NA,0
"Cnephaeus nilssonii",0,NA,0
"Cnephaeus pachyomus",1,1,1
"Cnephaeus serotinus",6,5,1
"Coleura afra",1,1,1
"Coleura kibomalandy",0,NA,0
"Corynorhinus townsendii",1,1,1
"Cynomops abrasus",1,1,1
"Cynomops planirostris",0,NA,0
"Cynopterus brachyotis",3,2,1
"Cynopterus horsfieldii",0,NA,0
"Cynopterus sp.",0,NA,0
"Cynopterus sphinx",3,2,1
"Dermanura phaeotis",3,2,1
"Desmodus rotundus",8,7,1
"Diaemus youngi",4,4,1
"Diclidurus albus",1,1,1
"Diphylla ecaudata",1,1,1
"Dobsonia moluccensis",0,NA,0
"Doryrhina cyclops",0,NA,0
"Dyacopterus spadiceus",0,NA,0
"Eidolon dupreanum",1,1,1
"Eidolon helvum",9,9,1
"Eonycteris spelaea",8,7,1
"Epomophorus dobsonii",1,1,1
"Epomophorus gambianus",0,NA,0
"Epomophorus labiatus",2,2,1
"Epomophorus pusillus",4,4,1
"Epomophorus wahlbergi",1,1,1
"Epomops buettikoferi",0,NA,0
"Epomops franqueti",4,4,1
"Epomops sp.",0,NA,0
"Eptesicus fuscus",3,3,1
"Eptesicus sp.",1,1,1
"Euderma maculatum",1,1,1
"Eumops auripendulus",1,1,1
"Eumops bonariensis",1,1,1
"Eumops glaucinus",1,1,1
"Eumops patagonicus",1,1,1
"Eumops perotis",1,1,1
"Falsistrellus mackenziei",0,NA,0
"Glauconycteris argentata",1,1,1
"Glauconycteris superba",0,NA,0
"Glauconycteris variegata",0,NA,0
"Glossophaga commissarisi",0,NA,0
"Glossophaga leachii",0,NA,0
"Glossophaga morenoi",0,NA,0
"Glossophaga mutica",3,2,1
"Glossophaga soricina",3,3,1
"Hipposideros abae",2,2,1
"Hipposideros aff. ruber",0,NA,0
"Hipposideros armiger",8,8,1
"Hipposideros beatus",0,NA,0
"Hipposideros bicolor",0,NA,0
"Hipposideros caffer",7,5,1
"Hipposideros cervinus",0,NA,0
"Hipposideros cf. larvatus",0,NA,0
"Hipposideros cf. ruber",0,NA,0
"Hipposideros cineraceus",0,NA,0
"Hipposideros diadema",0,NA,0
"Hipposideros fuliginosus",0,NA,0
"Hipposideros galeritus",0,NA,0
"Hipposideros gentilis",0,NA,0
"Hipposideros jonesi",0,NA,0
"Hipposideros lankadiva",0,NA,0
"Hipposideros larvatus",8,8,1
"Hipposideros lekaguli",1,1,1
"Hipposideros pomona",9,9,1
"Hipposideros pratti",2,2,1
"Hipposideros ruber",3,2,1
"Hipposideros turpis",0,NA,0
"Histiotus laephotis",0,NA,0
"Histiotus macrotus",1,1,1
"Histiotus montanus",1,1,1
"Histiotus sp.",1,1,1
"Histiotus velatus",1,1,1
"Hsunycteris thomasi",0,NA,0
"Hypsignathus monstrosus",1,1,1
"Hypsugo alaschanicus",1,1,1
"Hypsugo pulveratus",0,NA,0
"Hypsugo savii",2,2,1
"Ia io",1,1,1
"Kerivoula argentata",0,NA,0
"Kerivoula furva",1,1,1
"Kerivoula hardwickii",0,NA,0
"Kerivoula titania",0,NA,0
"Laephotis capensis",1,1,1
"Lasionycteris noctivagans",2,2,1
"Lasiurus blossevillii",1,1,1
"Lasiurus borealis",2,2,1
"Lasiurus cinereus",2,2,1
"Lasiurus ega",1,1,1
"Lasiurus intermedius",1,1,1
"Lasiurus seminolus",1,1,1
"Lasiurus sp. (in: bats)",1,1,1
"Lasiurus xanthinus",1,1,1
"Leptonycteris nivalis",1,1,1
"Lichonycteris obscura",0,NA,0
"Lonchorhina aurita",0,NA,0
"Lyroderma lyra",1,1,1
"Macroglossus minimus",0,NA,0
"Macroglossus sobrinus",1,1,1
"Macronycteris commersonii",2,1,1
"Macronycteris gigas",0,NA,0
"Macronycteris vittatus",0,NA,0
"Macrotus californicus",1,1,1
"Macrotus waterhousii",0,NA,0
"Megaderma spasma",0,NA,0
"Megaerops kusnotoi",0,NA,0
